TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.23,0,1,CLRT,,0000 0000 0000 1000,0 -> T,,,,,,T=0,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.23,0,1,CLRMAC,,0000 0000 0010 1000 ,"0 -> MACH, MACL",TEMP1,TEMP1,,,LOGIC,,,,,XOR,,,,,,INC,,,,,,,EX,,,Y,ZBUS,ZBUS,LOAD,LOAD,,,,,,,,,,,,,
A.23,0,1,DIV0U,,0000 0000 0001 1001,0 -> M/Q/T,,,,,,DIV0U,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.23,0,1,NOP,,0000 0000 0000 1001,no operation,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.23,0,4,RTE,,0000 0000 0010 1011,"Delayed branch, stack -> PC/SR",R15,,,4,ARITH,,ADD,,,,,,,R15,,INC,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,,,
,,,RTE,,0000 0000 0010 1011,,R15,,,4,ARITH,W,ADD,,,,,,,R15,SR,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,,,,
,,,RTE,,0000 0000 0010 1011,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RTE,,0000 0000 0010 1011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
A.23,0,2,RTS,,0000 0000 0000 1011,"Delayed branch, PR -> PC",,PR,,,Y,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RTS,,0000 0000 0000 1011,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
A.23,0,1,SETT,,0000 0000 0001 1000,1 -> T,,,,,,T=1,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.23,0,4,SLEEP,,0000 0000 0001 1011,Sleep,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SLEEP,,0000 0000 0001 1011,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,SET,,,,,,,,,,,
,,,SLEEP,,0000 0000 0001 1011,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SLEEP,,0000 0000 0001 1011,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BGND,,0000 0000 0011 1011,background,,,,,,,,,,,,,,,,INC,,,,,,YES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,CMP/PL Rn,,0100 nnnn 0001 0101,"Rn > 0, 1 -> T",Rn,0,,,,ARITH,SUB,s>,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,CMP/PZ Rn,,0100 nnnn 0001 0001,"Rn ? 0, 1?T",Rn,0,,,,ARITH,SUB,s>=,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,DT Rn,,0100 nnnn 0001 0000,"Rn-1 ?Rn; If Rn is 0, 1 ? T, if Rn is nonzero, 0 ? T",Rn,1,,,ARITH,ARITH,SUB,ZERO,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,MOVT Rn,,0000 nnnn 0010 1001,T?Rn,1,SR,,,LOGIC,,,,,AND,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,ROTL Rn,,0100 nnnn 0000 0100,T?Rn?MSB,Rn,1,,,SHIFT,SHIFT,,,,,,ROTATE,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,ROTR Rn,,0100 nnnn 0000 0101,LSB?Rn?T,Rn,-1,,,SHIFT,SHIFT,,,,,,ROTATE,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,ROTCL Rn,,0100 nnnn 0010 0100,T?Rn?T,Rn,1,,,SHIFT,SHIFT,,,,,,ROTATEC,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,ROTCR Rn,,0100 nnnn 0010 0101,T?Rn?T,Rn,-1,,,SHIFT,SHIFT,,,,,,ROTATEC,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHAL Rn,,0100 nnnn 0010 0000,T?Rn?0,Rn,1,,,SHIFT,SHIFT,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHAR Rn ,,0100 nnnn 0010 0001,MSB?Rn?T,Rn,-1,,,SHIFT,SHIFT,,,,,,SHIFTA,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLL Rn,,0100 nnnn 0000 0000 ,T?Rn?0,Rn,1,,,SHIFT,SHIFT,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLR Rn,,0100 nnnn 0000 0001,0?Rn?T,Rn,-1,,,SHIFT,SHIFT,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLL2 Rn,,0100 nnnn 0000 1000,Rn<<2 ? Rn,Rn,2,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLR2 Rn,,0100 nnnn 0000 1001,Rn>>2 ? Rn,Rn,-2,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
